,flight_number,origin_station_code,destination_station_code,record_locator,scheduled_departure_date,score,arrival_delay_minutes,arrival_delay_group,cabin_name,entity,number_of_legs,seat_factor_band,loyalty_program_level,generation,fleet_type_description,fleet_usage,equipment_type_code,ua_uax,actual_flown_miles,haul_type,departure_gate,arrival_gate,international_domestic_indicator,response_group,media_provider,hub_spoke
26227,1070,LAX,ORX,EQXXBT,2022-09-17,chicken entrée,7,Delayed,Business,Domestic,1,80+,non-elite,Silent,B757-300,Mainline,75E,UA,1745,Medium,71B,B14,Domestic,member,PANASONIC,hub departure
26230,449,BOX,DEX,DZXX6K,2022-09-17,chicken entrée,-19,Early & Ontime,Business,Domestic,1,90+,non-elite,Boomer,B737-900,Mainline,37K,UA,1754,Medium,B27,B17,Domestic,member,THALES,spoke departure
26234,415,BOX,DEX,CXXXP4,2022-09-17,chicken entrée,-19,Early & Ontime,Business,Domestic,3,90+,premier gold,Boomer,B737-MAX9,Mainline,37X,UA,1754,Medium,B31,B27,Domestic,member,VIASAT,spoke departure
26238,268,BOX,DEX,BDXX78,2022-09-17,other (specify),-21,Early & Ontime,Business,Domestic,1,90+,non-elite,Boomer,B737-MAX9,Mainline,37X,UA,1754,Medium,B29,B45,Domestic,member,VIASAT,spoke departure
26240,1917,IAX,PTX,EMXX6E,2022-09-17,other (specify),-19,Early & Ontime,Business,Latin,2,90+,non-elite,Gen X,B737-900,Mainline,37K,UA,1771,Medium,C2,139,International,member,THALES,hub departure
26242,2261,SMX,ORX,LXXXRJ,2022-09-17,snack basket selection,55,Delayed,Business,Domestic,1,90+,non-elite,Boomer,B737-900,Mainline,37K,UA,1781,Medium,A16,C10,Domestic,member,THALES,spoke departure
26247,1718,PVX,ORX,H6XX5W,2022-09-17,chicken entrée,-35,Early & Ontime,Business,Latin,1,70+,premier platinum,Millennial,A320-200,Mainline,20S,UA,1782,Medium,10,M34,International,member,PANASONIC,spoke departure
26252,2634,IAX,PDX,F1XXR5,2022-09-17,vegetarian entrée,-11,Early & Ontime,Business,Domestic,1,90+,premier silver,Millennial,B737-900,Mainline,73C,UA,1825,Medium,D1,E6,Domestic,member,THALES,hub departure
26253,2198,IAX,PDX,GPXX4W,2022-09-17,vegetarian entrée,-19,Early & Ontime,Business,Domestic,2,80+,Non-Members,Boomer,B737-900,Mainline,37K,UA,1825,Medium,E16,E6,Domestic,non-member,VIASAT,hub departure
26257,2017,SFX,ORX,LHXXMS,2022-09-17,chicken entrée,13,Delayed,Business,Domestic,2,90+,Non-Members,Boomer,B787-9,Mainline,78P,UA,1846,Medium,G2,C18,Domestic,non-member,PANASONIC,hub departure
26261,529,ORX,SFX,CLXX4E,2022-09-17,chicken entrée,3,Delayed,Business,Domestic,1,90+,non-elite,Millennial,B777-200,Mainline,77O,UA,1846,Medium,C18,F13,Domestic,member,PANASONIC,hub departure
26264,2170,ORX,SFX,OBXXT5,2022-09-17,vegetarian entrée,5,Delayed,Business,Domestic,2,90+,non-elite,Boomer,B787-9,Mainline,78P,UA,1846,Medium,C10,F13,Domestic,member,PANASONIC,hub departure
26273,477,SFX,ORX,P0XX4H,2022-09-17,chicken entrée,22,Delayed,Business,Domestic,1,90+,non-elite,Gen X,B777-200,Mainline,77O,UA,1846,Medium,F22,C18,Domestic,member,PANASONIC,hub departure
26276,1524,IAX,GUX,I3XXC8,2022-09-17,other (specify),-11,Early & Ontime,Business,Latin,1,90+,premier silver,Gen X,B737-800,Mainline,73Q,UA,1857,Medium,D24,11,International,member,THALES,hub departure
26280,1567,IAX,MEX,NPXXZS,2022-09-17,chicken entrée,-26,Early & Ontime,Business,Latin,1,0 to 70,premier silver,Gen X,A320-200,Mainline,20S,UA,1864,Medium,D9,30,International,member,PANASONIC,hub departure
26281,1285,PUX,IAX,JFXX2J,2022-09-17,other (specify),-14,Early & Ontime,Business,Latin,1,90+,non-elite,Gen X,B737-900,Mainline,37K,UA,1867,Medium,14,E20,International,member,THALES,spoke departure
26296,1040,AUX,EWX,O8XXDJ,2022-09-17,other (specify),50,Delayed,Business,Latin,1,90+,non-elite,Boomer,B737-900,Mainline,37K,UA,1958,Medium,3,C105,International,member,THALES,spoke departure
26299,1041,EWX,AUX,BHXXFG,2022-09-17,other (specify),11,Delayed,Business,Latin,1,90+,premier platinum,Millennial,B737-900,Mainline,37K,UA,1958,Medium,C133,3,International,member,VIASAT,hub departure
26302,1044,AUX,EWX,E8XX19,2022-09-17,vegetarian entrée,-25,Early & Ontime,Business,Latin,1,90+,Non-Members,Gen X,B737-900,Mainline,37K,UA,1958,Medium,7,C125,International,non-member,VIASAT,spoke departure
26305,1044,AUX,EWX,H9XXX8,2022-09-17,beef entrée,-25,Early & Ontime,Business,Latin,1,90+,non-elite,Silent,B737-900,Mainline,37K,UA,1958,Medium,7,C125,International,member,VIASAT,spoke departure
26317,2225,LAX,IAX,DQXXNL,2022-09-17,vegetarian entrée,-20,Early & Ontime,Business,Domestic,1,90+,premier gold,Millennial,B737-900,Mainline,37K,UA,2066,Medium,D57,C4,Domestic,member,THALES,spoke departure
26323,1278,CUX,LAX,MRXX9E,2022-09-17,vegetarian entrée,-7,Early & Ontime,Business,Latin,1,90+,Non-Members,Boomer,B737-900,Mainline,37K,UA,2119,Medium,C21,75A,International,non-member,THALES,spoke departure
26325,1278,CUX,LAX,B5XXPR,2022-09-17,vegetarian entrée,-7,Early & Ontime,Business,Latin,1,90+,non-elite,Boomer,B737-900,Mainline,37K,UA,2119,Medium,C21,75A,International,member,THALES,spoke departure
26326,1682,SFX,CMX,D5XX18,2022-09-17,sandwich/burger/wrap,3,Delayed,Business,Domestic,1,70+,non-elite,Boomer,B737-800,Mainline,73Y,UA,2121,Medium,F2,B31,Domestic,member,THALES,hub departure
26331,1250,EWX,PHX,BFXXQ7,2022-09-17,beef entrée,-27,Early & Ontime,Business,Domestic,1,90+,non-elite,Boomer,B737-900,Mainline,37K,UA,2133,Medium,C85,E10,Domestic,member,THALES,hub departure
26332,2173,PHX,EWX,G1XXF5,2022-09-17,chicken entrée,-8,Early & Ontime,Business,Domestic,2,90+,non-elite,Gen X,B737-800,Mainline,73Y,UA,2133,Medium,E10,C107,Domestic,member,THALES,spoke departure
26341,2019,LAX,TPX,KYXX73,2022-09-17,chicken entrée,-18,Early & Ontime,Business,Domestic,1,80+,premier silver,Gen X,A320-200,Mainline,20C,UA,2158,Medium,75B,A5,Domestic,member,PANASONIC,hub departure
26345,1561,SJX,EWX,A4XXHQ,2022-09-17,snack basket selection,-4,Early & Ontime,Economy Plus,Latin,1,90+,Non-Members,Gen X,B737-800,Mainline,73Q,UA,2201,Medium,3,B67,International,non-member,THALES,spoke departure
26361,2283,SAX,IAX,F7XX5G,2022-09-17,vegetarian entrée,-15,Early & Ontime,Business,Domestic,1,90+,global services,Boomer,B737-700,Mainline,73G,UA,2253,Medium,39,D7,Domestic,member,THALES,spoke departure
26362,1252,IAX,SAX,BPXX3K,2022-09-17,vegetarian entrée,-9,Early & Ontime,Business,Domestic,1,90+,non-elite,Boomer,B737-800,Mainline,73Y,UA,2253,Medium,C9,41,Domestic,member,THALES,hub departure
26371,500,LAX,IAX,LPXXYB,2022-09-17,vegetarian entrée,-22,Early & Ontime,Business,Domestic,2,90+,non-elite,Gen X,B737-900,Mainline,37K,UA,2288,Medium,70A,D12,Domestic,member,VIASAT,hub departure
26374,500,LAX,IAX,C4XXG8,2022-09-17,vegetarian entrée,-22,Early & Ontime,Business,Domestic,1,90+,non-elite,Gen X,B737-900,Mainline,37K,UA,2288,Medium,70A,D12,Domestic,member,VIASAT,hub departure
26375,1276,SEX,IAX,CGXXH8,2022-09-17,chicken entrée,-14,Early & Ontime,Business,Domestic,1,90+,non-elite,Silent,B737-900,Mainline,37K,UA,2306,Medium,A10,D19,Domestic,member,THALES,spoke departure
26376,1276,SEX,IAX,ELXXS2,2022-09-17,chicken entrée,-14,Early & Ontime,Business,Domestic,1,90+,non-elite,Millennial,B737-900,Mainline,37K,UA,2306,Medium,A10,D19,Domestic,member,THALES,spoke departure
26388,1726,SFX,OGX,NJXX14,2022-09-17,other (specify),-12,Early & Ontime,Business,Domestic,1,80+,premier gold,Boomer,B777-200,Mainline,77M,UA,2338,Medium,F11,35,Domestic,member,PANASONIC,hub departure
26394,292,IAX,SMX,PZXXFH,2022-09-17,chicken entrée,-10,Early & Ontime,Business,Domestic,2,80+,premier silver,Boomer,B737-800,Mainline,73Q,UA,2358,Medium,D16,A16,Domestic,member,THALES,hub departure
26395,292,IAX,SMX,P2XXQN,2022-09-17,sandwich/burger/wrap,-10,Early & Ontime,Business,Domestic,2,80+,non-elite,Boomer,B737-800,Mainline,73Q,UA,2358,Medium,D16,A16,Domestic,member,THALES,hub departure
26409,620,EWX,SJX,EJXX9S,2022-09-17,other (specify),-26,Early & Ontime,Business,Latin,1,70+,premier silver,Gen X,B737-900,Mainline,37K,UA,2390,Medium,C109,19,International,member,THALES,hub departure
26410,1179,TPX,SFX,OKXX7F,2022-09-17,chicken entrée,-11,Early & Ontime,Business,Domestic,1,90+,non-elite,Boomer,B737-MAX9,Mainline,37X,UA,2392,Medium,A9,E12,Domestic,member,VIASAT,spoke departure
26413,301,SFX,HNX,GGXX4T,2022-09-17,sandwich/burger/wrap,-9,Early & Ontime,Economy Plus,Domestic,2,90+,premier 1k,Boomer,B777-200,Mainline,77G,UA,2399,Medium,F11,G4,Domestic,member,PANASONIC,hub departure
26414,373,HNX,SFX,MVXXRF,2022-09-17,other (specify),-22,Early & Ontime,Business,Domestic,1,90+,non-elite,Boomer,B777-200,Mainline,77O,UA,2399,Medium,G6,F15,Domestic,member,PANASONIC,spoke departure
26415,1176,SFX,HNX,O7XX5P,2022-09-17,other (specify),-13,Early & Ontime,Business,Domestic,1,90+,non-elite,Silent,B777-300,Mainline,77X,UA,2399,Medium,G2,G4,Domestic,member,PANASONIC,hub departure
26416,1510,SFX,HNX,FGXXNV,2022-09-17,beef entrée,-24,Early & Ontime,Business,Domestic,2,90+,premier 1k,Boomer,B777-200,Mainline,77O,UA,2399,Medium,F13,G2,Domestic,member,PANASONIC,hub departure
26421,1142,HNX,SFX,H1XXM0,2022-09-17,beef entrée,-24,Early & Ontime,Business,Domestic,2,90+,Non-Members,Boomer,B777-200,Mainline,77G,UA,2399,Medium,G6,F13,Domestic,non-member,PANASONIC,spoke departure
26433,293,EWX,SEX,GWXXBX,2022-09-17,vegetarian entrée,-42,Early & Ontime,Business,Domestic,2,90+,premier 1k,Boomer,A319-100,Mainline,19G,UA,2401,Medium,C70,A9,Domestic,member,VIASAT,hub departure
26434,592,SEX,EWX,H3XXDX,2022-09-17,chicken entrée,33,Delayed,Business,Domestic,1,90+,premier gold,Boomer,B737-800,Mainline,73Y,UA,2401,Medium,A10,C111,Domestic,member,THALES,spoke departure
26435,2093,SEX,EWX,IVXXWR,2022-09-17,chicken entrée,-9,Early & Ontime,Business,Domestic,1,90+,non-elite,Millennial,B737-MAX8,Mainline,37E,UA,2401,Medium,A8A,C71,Domestic,member,VIASAT,spoke departure
26440,308,SEX,EWX,H7XXE4,2022-09-17,other (specify),-13,Early & Ontime,Business,Domestic,1,90+,non-elite,Boomer,A319-100,Mainline,19G,UA,2401,Medium,S10,C70,Domestic,member,VIASAT,spoke departure
26445,1680,SFX,CUX,ELXXS8,2022-09-17,other (specify),-6,Early & Ontime,Business,Latin,1,90+,non-elite,Boomer,B737-900,Mainline,37K,UA,2408,Medium,F2,36,International,member,THALES,hub departure
26450,1870,SFX,IAX,BMXXME,2022-09-17,vegetarian entrée,-8,Early & Ontime,Business,Domestic,1,90+,non-elite,Boomer,B777-300,Mainline,77X,UA,2419,Medium,F19,D32,Domestic,member,PANASONIC,hub departure
26451,1642,IAX,SFX,AWXXVG,2022-09-17,chicken entrée,-22,Early & Ontime,Business,Domestic,2,90+,premier platinum,Silent,B777-300,Mainline,77X,UA,2419,Medium,D32,F15,Domestic,member,PANASONIC,hub departure
26452,1870,SFX,IAX,KZXXM3,2022-09-17,other (specify),-8,Early & Ontime,Business,Domestic,1,90+,premier silver,Boomer,B777-300,Mainline,77X,UA,2419,Medium,F19,D32,Domestic,member,PANASONIC,hub departure
26454,1642,IAX,SFX,CZXXFF,2022-09-17,chicken entrée,-22,Early & Ontime,Business,Domestic,2,90+,global services,Boomer,B777-300,Mainline,77X,UA,2419,Medium,D32,F15,Domestic,member,PANASONIC,hub departure
26468,1955,SFX,DCX,E9XX67,2022-09-17,other (specify),-15,Early & Ontime,Business,Domestic,1,70+,premier platinum,Boomer,B737-800,Mainline,73Q,UA,2442,Medium,F20,B11,Domestic,member,THALES,hub departure
26469,352,DCX,SFX,J8XX32,2022-09-17,chicken entrée,-15,Early & Ontime,Business,Domestic,1,70+,premier silver,Gen X,B737-800,Mainline,73Q,UA,2442,Medium,B11,E10,Domestic,member,THALES,spoke departure
26471,471,MCX,SFX,MEXXV1,2022-09-17,other (specify),-13,Early & Ontime,Business,Domestic,1,90+,non-elite,Boomer,B737-MAX9,Mainline,37X,UA,2445,Medium,48,F21,Domestic,member,VIASAT,spoke departure
26472,471,MCX,SFX,GKXXNN,2022-09-17,other (specify),-13,Early & Ontime,Business,Domestic,2,90+,Non-Members,Boomer,B737-MAX9,Mainline,37X,UA,2445,Medium,48,F21,Domestic,non-member,VIASAT,spoke departure
26477,1747,LIX,SFX,DTXXN1,2022-09-17,chicken entrée,-9,Early & Ontime,Business,Domestic,1,80+,premier 1k,Silent,B737-800,Mainline,73Q,UA,2447,Medium,9,E7,Domestic,member,THALES,spoke departure
26479,1685,SFX,LIX,J7XXL7,2022-09-17,chicken entrée,-7,Early & Ontime,Business,Domestic,1,70+,premier platinum,Boomer,B737-800,Mainline,73Q,UA,2447,Medium,F14,9,Domestic,member,THALES,hub departure
26481,1685,SFX,LIX,HLXXHJ,2022-09-17,chicken entrée,-7,Early & Ontime,Business,Domestic,2,70+,premier 1k,Boomer,B737-800,Mainline,73Q,UA,2447,Medium,F14,9,Domestic,member,THALES,hub departure
26486,1564,LIX,SFX,B1XX7P,2022-09-17,snack basket selection,-15,Early & Ontime,Business,Domestic,2,90+,premier gold,Boomer,B737-800,Mainline,73Q,UA,2447,Medium,9,F14,Domestic,member,THALES,spoke departure
26488,1454,EWX,LAX,O2XXK0,2022-09-17,chicken entrée,-15,Early & Ontime,Business,Domestic,1,90+,non-elite,Silent,B777-200,Mainline,77U,UA,2454,Medium,C121,76A,Domestic,member,PANASONIC,hub departure
26492,1454,EWX,LAX,E9XX3X,2022-09-17,chicken entrée,-15,Early & Ontime,Business,Domestic,1,90+,non-elite,Gen X,B777-200,Mainline,77U,UA,2454,Medium,C121,76A,Domestic,member,PANASONIC,hub departure
26493,1077,EWX,LAX,DQXX5K,2022-09-17,chicken entrée,-11,Early & Ontime,Business,Domestic,1,90+,premier 1k,Boomer,B787-10,Mainline,78J,UA,2454,Medium,C110,76A,Domestic,member,PANASONIC,hub departure
26496,1454,EWX,LAX,I7XXJX,2022-09-17,chicken entrée,-15,Early & Ontime,Business,Domestic,1,90+,non-elite,Boomer,B777-200,Mainline,77U,UA,2454,Medium,C121,76A,Domestic,member,PANASONIC,hub departure
26499,1454,EWX,LAX,I4XXBK,2022-09-17,vegetarian entrée,-15,Early & Ontime,United Premium Plus,Domestic,1,90+,Non-Members,Boomer,B777-200,Mainline,77U,UA,2454,Medium,C121,76A,Domestic,non-member,PANASONIC,hub departure
26505,2675,EWX,LAX,DHXXTL,2022-09-17,vegetarian entrée,4,Delayed,Business,Domestic,2,90+,premier platinum,Gen X,B757-200,Mainline,75B,UA,2454,Medium,C96,75B,Domestic,member,PANASONIC,hub departure
26506,1454,EWX,LAX,PGXXVC,2022-09-17,chicken entrée,-15,Early & Ontime,Business,Domestic,2,90+,non-elite,Gen X,B777-200,Mainline,77U,UA,2454,Medium,C121,76A,Domestic,member,PANASONIC,hub departure
26509,1500,EWX,LAX,K0XXXK,2022-09-17,other (specify),-14,Early & Ontime,Business,Domestic,1,90+,premier gold,Boomer,B787-10,Mainline,78J,UA,2454,Medium,C138,77,Domestic,member,PANASONIC,hub departure
26511,269,EWX,BOX,E3XX2Z,2022-09-17,sandwich/burger/wrap,-17,Early & Ontime,Economy,Latin,1,80+,Non-Members,Millennial,B737-700,Mainline,73G,UA,2477,Medium,C107,22,International,non-member,THALES,hub departure
26531,247,LAX,HNX,PXXXYW,2022-09-17,vegetarian entrée,-5,Early & Ontime,Business,Domestic,1,90+,non-elite,Millennial,B737-900,Mainline,37K,UA,2556,Medium,73,G1,Domestic,member,THALES,hub departure
26532,1225,LAX,HNX,JFXXJY,2022-09-17,beef entrée,-14,Early & Ontime,Business,Domestic,2,90+,premier 1k,Boomer,B757-300,Mainline,75E,UA,2556,Medium,75B,G6,Domestic,member,THALES,hub departure
26533,1637,HNX,LAX,NVXX6S,2022-09-17,chicken entrée,-9,Early & Ontime,Business,Domestic,1,80+,premier gold,Gen X,B757-300,Mainline,75E,UA,2556,Medium,G3,75A,Domestic,member,THALES,spoke departure
26537,2449,SFX,EWX,PEXXXC,2022-09-17,vegetarian entrée,1,Delayed,Business,Domestic,1,90+,premier 1k,Boomer,B777-200,Mainline,77U,UA,2565,Medium,F15,C98,Domestic,non-member,PANASONIC,hub departure
26544,1547,SFX,EWX,ODXX48,2022-09-17,other (specify),-12,Early & Ontime,United Premium Plus,Domestic,1,90+,non-elite,Boomer,B777-300,Mainline,77X,UA,2565,Medium,F22,C138,Domestic,member,PANASONIC,hub departure
26546,1547,SFX,EWX,G0XX3T,2022-09-17,other (specify),-12,Early & Ontime,United Premium Plus,Domestic,1,90+,premier silver,Boomer,B777-300,Mainline,77X,UA,2565,Medium,F22,C138,Domestic,member,PANASONIC,hub departure
26549,1129,SFX,EWX,JJXXPK,2022-09-17,other (specify),3,Delayed,Business,Domestic,1,80+,premier 1k,Silent,B777-300,Mainline,77X,UA,2565,Medium,F15,C98,Domestic,member,PANASONIC,hub departure
26551,1547,SFX,EWX,NGXXCC,2022-09-17,other (specify),-12,Early & Ontime,Business,Domestic,1,90+,non-elite,Millennial,B777-300,Mainline,77X,UA,2565,Medium,F22,C138,Domestic,member,PANASONIC,hub departure
26556,1667,SFX,EWX,JNXX4Q,2022-09-17,vegetarian entrée,-7,Early & Ontime,United Premium Plus,Domestic,1,90+,premier 1k,Boomer,B777-200,Mainline,77E,UA,2565,Medium,F11,C75,Domestic,member,PANASONIC,hub departure
26560,537,EWX,SFX,F4XXPB,2022-09-17,chicken entrée,17,Delayed,United Premium Plus,Domestic,1,80+,premier silver,Gen X,B777-200,Mainline,77U,UA,2565,Medium,C123,G2,Domestic,member,PANASONIC,hub departure
26563,537,EWX,SFX,NHXX2R,2022-09-17,chicken entrée,17,Delayed,Business,Domestic,1,80+,premier silver,Gen X,B777-200,Mainline,77U,UA,2565,Medium,C123,G2,Domestic,member,PANASONIC,hub departure
26566,139,EWX,KEX,IJXXZ9,2022-09-17,chicken entrée,6,Delayed,Economy,Atlantic,1,80+,non-elite,Boomer,B757-200,Mainline,75S,UA,2601,Medium,C94,D,International,member,PANASONIC,hub departure
26567,140,KEX,EWX,L2XX4P,2022-09-17,chicken entrée,-34,Early & Ontime,Business,Atlantic,1,90+,premier 1k,Gen X,B757-200,Mainline,75S,UA,2601,Medium,D15,B61,International,member,PANASONIC,spoke departure
26574,1666,SFX,BOX,H1XXM0,2022-09-17,other (specify),-7,Early & Ontime,Business,Domestic,2,90+,Non-Members,Boomer,B737-MAX9,Mainline,37X,UA,2704,Medium,E7,B24,Domestic,non-member,VIASAT,hub departure
26576,1188,BOX,SFX,MHXXW3,2022-09-17,vegetarian entrée,-13,Early & Ontime,Business,Domestic,1,80+,premier silver,Boomer,B737-MAX9,Mainline,37X,UA,2704,Medium,B24,E7,Domestic,member,VIASAT,spoke departure
26580,478,BOX,SFX,PSXX60,2022-09-17,chicken entrée,-11,Early & Ontime,Business,Domestic,1,80+,premier 1k,Boomer,B737-MAX9,Mainline,37X,UA,2704,Medium,B24,E8,Domestic,member,VIASAT,spoke departure
26584,1009,BOX,SFX,A4XXQC,2022-09-17,other (specify),-33,Early & Ontime,Business,Domestic,1,90+,premier silver,Boomer,B737-MAX9,Mainline,37X,UA,2704,Medium,B23,F17,Domestic,member,VIASAT,spoke departure
26585,1009,BOX,SFX,EPXX1N,2022-09-17,seafood entrée,-33,Early & Ontime,Business,Domestic,2,90+,premier platinum,Boomer,B737-MAX9,Mainline,37X,UA,2704,Medium,B23,F17,Domestic,member,VIASAT,spoke departure
26589,478,BOX,SFX,ILXXN4,2022-09-17,chicken entrée,-11,Early & Ontime,Business,Domestic,1,80+,Non-Members,Boomer,B737-MAX9,Mainline,37X,UA,2704,Medium,B24,E8,Domestic,non-member,VIASAT,spoke departure
26591,478,BOX,SFX,C4XXKW,2022-09-17,chicken entrée,-11,Early & Ontime,Business,Domestic,1,80+,non-elite,Boomer,B737-MAX9,Mainline,37X,UA,2704,Medium,B24,E8,Domestic,member,VIASAT,spoke departure
26596,914,KEX,ORX,G3XXTX,2022-09-17,sandwich/burger/wrap,-29,Early & Ontime,Economy Plus,Atlantic,1,90+,non-elite,Boomer,B757-200,Mainline,75B,UA,2944,Medium,D21,M20,International,member,PANASONIC,spoke departure
26597,914,KEX,ORX,MRXXEY,2022-09-17,sandwich/burger/wrap,-29,Early & Ontime,Economy Plus,Atlantic,1,90+,Non-Members,Silent,B757-200,Mainline,75B,UA,2944,Medium,D21,M20,International,non-member,PANASONIC,spoke departure
26599,977,EWX,SNX,NXXX26,2022-09-17,chicken entrée,-20,Early & Ontime,Business,Atlantic,2,90+,non-elite,Boomer,B757-200,Mainline,75S,UA,3096,Long,C95,HOLD,International,member,PANASONIC,hub departure
26600,978,SNX,EWX,NWXX7N,2022-09-17,vegetarian entrée,-36,Early & Ontime,Economy Plus,Atlantic,1,80+,Non-Members,Boomer,B757-200,Mainline,75B,UA,3096,Long,108,C81,International,non-member,PANASONIC,spoke departure
26605,855,IAX,LIX,NWXXV1,2022-09-17,sandwich/burger/wrap,14,Delayed,Economy,Latin,2,90+,non-elite,Millennial,B767-300,Mainline,76A,UA,3133,Long,E4,19,International,member,PANASONIC,hub departure
26607,855,IAX,LIX,MQXXC2,2022-09-17,sandwich/burger/wrap,14,Delayed,Economy Plus,Latin,2,90+,Non-Members,Gen X,B767-300,Mainline,76A,UA,3133,Long,E4,19,International,non-member,PANASONIC,hub departure
26610,24,EWX,DUX,PJXX5X,2022-09-17,chicken entrée,-18,Early & Ontime,Economy,Atlantic,1,90+,non-elite,Boomer,B767-400,Mainline,76S,UA,3193,Long,C120,HOLD,International,member,PANASONIC,hub departure
26612,23,DUX,EWX,IMXX37,2022-09-17,vegetarian entrée,153,Delayed,Economy Plus,Atlantic,1,90+,premier gold,Boomer,B767-300,Mainline,76A,UA,3193,Long,USPC,C125,International,member,PANASONIC,spoke departure
26615,25,BOX,LHX,ERXXZS,2022-09-17,chicken entrée,-16,Early & Ontime,Economy,Atlantic,1,80+,Non-Members,Gen X,B767-300,Mainline,76L,UA,3265,Long,B23,211,International,non-member,PANASONIC,spoke departure
26616,25,BOX,LHX,GFXX3J,2022-09-17,vegetarian entrée,-16,Early & Ontime,United Premium Plus,Atlantic,1,80+,Non-Members,Boomer,B767-300,Mainline,76L,UA,3265,Long,B23,211,International,non-member,PANASONIC,spoke departure
26618,26,LHX,BOX,CGXXBV,2022-09-17,chicken entrée,-35,Early & Ontime,Economy,Atlantic,1,0 to 70,Non-Members,Gen X,B767-300,Mainline,76L,UA,3265,Long,248,E-11,International,non-member,PANASONIC,spoke departure
26622,37,EWX,EDX,DMXXV4,2022-09-17,beef entrée,-22,Early & Ontime,Business,Atlantic,1,90+,premier 1k,Boomer,B757-200,Mainline,75S,UA,3269,Long,C83,4A,International,member,PANASONIC,hub departure
26623,38,EDX,EWX,O4XXXG,2022-09-17,vegetarian entrée,-56,Early & Ontime,Economy Plus,Atlantic,1,90+,premier platinum,Boomer,B757-200,Mainline,75B,UA,3269,Long,3,B67,International,member,PANASONIC,spoke departure
26625,38,EDX,EWX,IDXX3G,2022-09-17,vegetarian entrée,-56,Early & Ontime,Economy,Atlantic,1,90+,non-elite,Boomer,B757-200,Mainline,75B,UA,3269,Long,3,B67,International,member,PANASONIC,spoke departure
26629,1737,DEX,OGX,IGXX18,2022-09-17,beef entrée,-4,Early & Ontime,Business,Domestic,1,80+,global services,Boomer,B757-200,Mainline,75B,UA,3303,Long,B28,23,Domestic,member,PANASONIC,hub departure
26632,1732,KOX,DEX,I5XX2S,2022-09-17,vegetarian entrée,-22,Early & Ontime,Business,Domestic,1,90+,non-elite,Boomer,B757-200,Mainline,75B,UA,3331,Long,1,B43,Domestic,member,PANASONIC,spoke departure
26636,1759,DEX,KOX,E0XXN3,2022-09-17,chicken entrée,-5,Early & Ontime,Business,Domestic,1,90+,non-elite,Boomer,B757-200,Mainline,75B,UA,3331,Long,B24,1,Domestic,member,PANASONIC,hub departure
26638,249,EWX,TFX,J2XXFW,2022-09-17,chicken entrée,-16,Early & Ontime,Economy Plus,Atlantic,1,90+,non-elite,Gen X,B757-200,Mainline,75B,UA,3344,Long,C82,HOLD,International,member,PANASONIC,hub departure
26644,384,HNX,DEX,FVXXLW,2022-09-17,other (specify),-6,Early & Ontime,Economy,Domestic,1,90+,non-elite,Boomer,B777-200,Mainline,77M,UA,3365,Long,G5,B32,Domestic,member,PANASONIC,spoke departure
26646,385,DEX,HNX,LBXXWW,2022-09-17,chicken entrée,-1,Early & Ontime,Economy,Domestic,1,90+,non-elite,Gen X,B777-200,Mainline,77G,UA,3365,Long,B38,G3,Domestic,member,PANASONIC,hub departure
26647,385,DEX,HNX,DKXXP9,2022-09-17,chicken entrée,-1,Early & Ontime,Economy Plus,Domestic,2,90+,non-elite,Gen X,B777-200,Mainline,77G,UA,3365,Long,B38,G3,Domestic,member,PANASONIC,hub departure
26648,385,DEX,HNX,HMXXQH,2022-09-17,chicken entrée,-1,Early & Ontime,Economy,Domestic,2,90+,non-elite,Gen X,B777-200,Mainline,77G,UA,3365,Long,B38,G3,Domestic,member,PANASONIC,hub departure
26651,66,LIX,EWX,ABXXER,2022-09-17,chicken entrée,-27,Early & Ontime,Business,Atlantic,1,90+,non-elite,Boomer,B787-10,Mainline,78J,UA,3385,Long,45,B54,International,member,PANASONIC,spoke departure
26654,65,EWX,LIX,M1XX66,2022-09-17,other (specify),-18,Early & Ontime,Business,Atlantic,2,90+,non-elite,Boomer,B787-10,Mainline,78J,UA,3385,Long,C135,42,International,member,PANASONIC,hub departure
26655,66,LIX,EWX,O4XXG4,2022-09-17,seafood entrée,-27,Early & Ontime,Business,Atlantic,1,90+,premier 1k,Gen X,B787-10,Mainline,78J,UA,3385,Long,45,B54,International,member,PANASONIC,spoke departure
26661,2308,DEX,LIX,F5XX8F,2022-09-17,vegetarian entrée,28,Delayed,Economy Plus,Domestic,1,80+,premier platinum,Gen X,B757-200,Mainline,75S,UA,3414,Long,B22,9,Domestic,member,PANASONIC,hub departure
26663,148,LHX,EWX,FCXXGG,2022-09-17,chicken entrée,-36,Early & Ontime,Business,Atlantic,2,80+,premier silver,Gen X,B767-300,Mainline,76L,UA,3466,Long,232,C125,International,member,PANASONIC,spoke departure
26664,941,EWX,LHX,FRXX60,2022-09-17,beef entrée,-1,Early & Ontime,Business,Atlantic,1,80+,premier platinum,Gen X,B767-300,Mainline,76L,UA,3466,Long,C128,233,International,member,PANASONIC,hub departure
26670,905,EWX,LHX,NLXX6L,2022-09-17,chicken entrée,-13,Early & Ontime,Economy,Atlantic,2,90+,non-elite,Millennial,B767-300,Mainline,76L,UA,3466,Long,C102,247,International,member,PANASONIC,hub departure
